,QID,QTEXT,AMODE,ATYPE,ANS,prediction_result,wd_item,wd_item_name,predicate,predicted_ans,predicate_matched,answer_match_way
0,D001Q01,苏东坡在中国历史上，是哪一个朝代的人？,Single-Span-Extraction,Date-Duration,['北宋'],exact_match,Q36020,蘇軾,['國籍'],北宋,朝代,
1,D001Q03,苏东坡的爸爸叫什么名字?,Single-Span-Extraction,Person,['苏洵'],exact_match,Q36020,蘇軾,['爸爸'],苏洵,byalias,
2,D013Q01,高雄市位于台湾的东南西北部的哪一个位置?,Single-Span-Extraction,Location,"['南部', '南']",wrong,Q57251,臺灣省,['位置'],台湾,位置,
3,D013Q01,高雄市位于台湾的东南西北部的哪一个位置?,Single-Span-Extraction,Location,"['南部', '南']",wrong,Q57251,臺灣省,['位置'],澎湖县,位置,
4,D064Q07,郭雪湖的妻子是谁？,Single-Span-Extraction,Person,['林阿琴'],exact_match,Q7207027,郭雪湖,['妻子'],林阿琴,byalias,
5,D069Q12,李安哪一部作品获得了新闻局优良电视剧本第一名?,Single-Span-Extraction,Object,['推手'],wrong,Q160726,李安,['作品'],卧虎藏龙,byalias,
6,D069Q12,李安哪一部作品获得了新闻局优良电视剧本第一名?,Single-Span-Extraction,Object,['推手'],wrong,Q160726,李安,['作品'],少年PI的奇幻漂流,byalias,
7,D071Q01,张大千的出生地在中国哪里?,Single-Span-Extraction,Location,"['四川内江', '四川']",partial_match (substr),Q163298,張大千,['出生地'],内江,(出生|诞生).*((地区|地方|地点|省份|省|城市)|(地|省)),
8,D071Q13,张大千在哪里去世?,Single-Span-Extraction,Location,['台北'],partial_match (superstr),Q163298,張大千,['死亡地'],台北市,((哪(一个|个)?(地区|地方|地点|省份|省|城市)|(哪|哪一)(地|省))|(甚么|什么)|(地区|地方|地点|省份|省|城市)|哪(里)).*((死亡|死掉|过世|逝世|去世|离世|离开人间)|死),
9,D071Q13,张大千在哪里去世?,Single-Span-Extraction,Location,['台北'],exact_match,Q163298,張大千,['死亡地'],台北,((哪(一个|个)?(地区|地方|地点|省份|省|城市)|(哪|哪一)(地|省))|(甚么|什么)|(地区|地方|地点|省份|省|城市)|哪(里)).*((死亡|死掉|过世|逝世|去世|离世|离开人间)|死),
10,D072Q03,莎士比亚的生日是哪一天?,Single-Span-Extraction,Date-Duration,['1564年4月23日'],wrong,Q692,威廉·莎士比亞,['出生日期'],1564年04月,生日,
11,D072Q05,莎士比亚的妻子叫什么名字?,Single-Span-Extraction,Person,['安·哈瑟维'],wrong,Q692,威廉·莎士比亞,['名字'],威廉,(.+)(甚么|什么)名字,
12,D072Q05,莎士比亚的妻子叫什么名字?,Single-Span-Extraction,Person,['安·哈瑟维'],wrong,Q692,威廉·莎士比亞,['名字'],William,(.+)(甚么|什么)名字,
13,D072Q08,莎士比亚的悲剧作品有哪些?(在文本中),Multi-Spans-Extraction,Object,['《罗密欧与朱丽叶》与《马克白》'],partial_match (substr),Q692,威廉·莎士比亞,['作品'],罗密欧与朱丽叶,byalias,
14,D072Q08,莎士比亚的悲剧作品有哪些?(在文本中),Multi-Spans-Extraction,Object,['《罗密欧与朱丽叶》与《马克白》'],wrong,Q692,威廉·莎士比亞,['作品'],皆大欢喜,byalias,
15,D072Q08,莎士比亚的悲剧作品有哪些?(在文本中),Multi-Spans-Extraction,Object,['《罗密欧与朱丽叶》与《马克白》'],partial_match (substr),Q692,威廉·莎士比亞,['作品'],马克白,byalias,
16,D072Q08,莎士比亚的悲剧作品有哪些?(在文本中),Multi-Spans-Extraction,Object,['《罗密欧与朱丽叶》与《马克白》'],wrong,Q692,威廉·莎士比亞,['作品'],理查二世,byalias,
17,D072Q08,莎士比亚的悲剧作品有哪些?(在文本中),Multi-Spans-Extraction,Object,['《罗密欧与朱丽叶》与《马克白》'],wrong,Q692,威廉·莎士比亞,['作品'],亨利五世,byalias,
18,D072Q08,莎士比亚的悲剧作品有哪些?(在文本中),Multi-Spans-Extraction,Object,['《罗密欧与朱丽叶》与《马克白》'],wrong,Q692,威廉·莎士比亞,['作品'],亨利六世,byalias,
19,D072Q08,莎士比亚的悲剧作品有哪些?(在文本中),Multi-Spans-Extraction,Object,['《罗密欧与朱丽叶》与《马克白》'],wrong,Q692,威廉·莎士比亞,['作品'],理查三世,byalias,
20,D072Q08,莎士比亚的悲剧作品有哪些?(在文本中),Multi-Spans-Extraction,Object,['《罗密欧与朱丽叶》与《马克白》'],wrong,Q692,威廉·莎士比亞,['作品'],亨利八世,byalias,
21,D072Q08,莎士比亚的悲剧作品有哪些?(在文本中),Multi-Spans-Extraction,Object,['《罗密欧与朱丽叶》与《马克白》'],wrong,Q692,威廉·莎士比亞,['作品'],威尼斯商人,byalias,
22,D072Q08,莎士比亚的悲剧作品有哪些?(在文本中),Multi-Spans-Extraction,Object,['《罗密欧与朱丽叶》与《马克白》'],wrong,Q692,威廉·莎士比亞,['作品'],辛白林,byalias,
23,D072Q08,莎士比亚的悲剧作品有哪些?(在文本中),Multi-Spans-Extraction,Object,['《罗密欧与朱丽叶》与《马克白》'],wrong,Q692,威廉·莎士比亞,['作品'],泰尔亲王佩利克尔斯,byalias,
24,D072Q08,莎士比亚的悲剧作品有哪些?(在文本中),Multi-Spans-Extraction,Object,['《罗密欧与朱丽叶》与《马克白》'],wrong,Q692,威廉·莎士比亞,['作品'],暴风雨,byalias,
25,D072Q09,莎士比亚的悲喜剧作品有哪些?(在文本中),Multi-Spans-Extraction,Object,['《辛白林》、《冬天的故事》、《暴风雨》与《泰尔亲王佩力克尔斯》'],wrong,Q692,威廉·莎士比亞,['作品'],罗密欧与朱丽叶,byalias,
26,D072Q09,莎士比亚的悲喜剧作品有哪些?(在文本中),Multi-Spans-Extraction,Object,['《辛白林》、《冬天的故事》、《暴风雨》与《泰尔亲王佩力克尔斯》'],wrong,Q692,威廉·莎士比亞,['作品'],皆大欢喜,byalias,
27,D072Q09,莎士比亚的悲喜剧作品有哪些?(在文本中),Multi-Spans-Extraction,Object,['《辛白林》、《冬天的故事》、《暴风雨》与《泰尔亲王佩力克尔斯》'],wrong,Q692,威廉·莎士比亞,['作品'],马克白,byalias,
