qid	parsed_subj	parsed_pred	sid	pretty_values	proc_values	answers	answer
D001Q01	苏东坡在中国历史上，	朝代	['Q36020']	['Q319460 北宋']	['北宋']	['北宋', '北宋']	北宋
D001Q02	not_parsed	not_parsed					
D001Q03	苏东坡	父親	['Q36020']	['Q947039 蘇洵']	['苏洵', '明允', '苏老泉', '老泉', '苏明允']	['苏洵', '苏洵']	苏洵
D001Q04	not_parsed	not_parsed					
D001Q05	not_parsed	not_parsed					
D001Q06	韩愈在中国历史上，	朝代	['Q318998']	['Q9683 唐朝']	['唐朝', '唐', "T'ang Ch'ao", '唐代', 'Táng Cháo']	['唐', '唐', '唐', '唐', '唐代']	唐代
D001Q09	辛弃疾	朝代	['Q1155987']	['Q7462 宋朝']	['宋朝', '赵宋', '炎宋', '宋代', '两宋', '宋', '大宋']	['宋代', '宋', '宋', '宋', '宋', '宋', '宋', '宋', '宋', '宋']	宋代
D002Q01	苏东坡	出生地	['Q36020']	['Q427097 眉山市']	['眉山市', '眉山']	[]	None
D002Q02	苏东坡	出生年份	['Q36020']	['1037-01-08T00:00:00.000Z']	['1037年', '-874年']	[]	None
D002Q03	not_parsed	not_parsed					
D002Q04	not_parsed	not_parsed					
D002Q08	not_parsed	not_parsed					
D002Q10	not_parsed	not_parsed					
D003Q04	not_parsed	not_parsed					
D003Q05	not_parsed	not_parsed					
D003Q07	not_parsed	not_parsed					
D004Q03	not_parsed	not_parsed					
D004Q04	not_parsed	not_parsed					
D004Q06	苏东坡	死亡地	['Q36020']	['Q57970 常州市']	['常州市', '龙城', '常州']	['常州']	常州
D004Q07	not_parsed	not_parsed					
D004Q08	not_parsed	not_parsed					
D006Q01	not_parsed	not_parsed					
D006Q03	not_parsed	not_parsed					
D006Q04	not_parsed	not_parsed					
D008Q01	not_parsed	not_parsed					
D008Q02	not_parsed	not_parsed					
D008Q04	not_parsed	not_parsed					
D008Q05	not_parsed	not_parsed					
D008Q07	not_parsed	not_parsed					
D008Q08	not_parsed	not_parsed					
D008Q09	not_parsed	not_parsed					
D008Q10	not_parsed	not_parsed					
D008Q11	not_parsed	not_parsed					
D009Q01	not_parsed	not_parsed					
D009Q02	not_parsed	not_parsed					
D010Q01	「茉莉花革命」	成立或建立時間	['Q46959']	[]	[]	[]	None
D010Q02	「茉莉花革命」发	國籍	[]	[]	[]	[]	None
D010Q03	not_parsed	not_parsed					
D011Q01	not_parsed	not_parsed					
D011Q02	not_parsed	not_parsed					
D011Q03	not_parsed	not_parsed					
D011Q04	not_parsed	not_parsed					
D011Q05	not_parsed	not_parsed					
D011Q06	not_parsed	not_parsed					
D011Q07	not_parsed	not_parsed					
D011Q08	not_parsed	not_parsed					
D013Q01	not_parsed	not_parsed					
D013Q03	not_parsed	not_parsed					
D013Q04	not_parsed	not_parsed					
D013Q05	not_parsed	not_parsed					
D013Q06	not_parsed	not_parsed					
D013Q07	not_parsed	not_parsed					
D013Q08	高雄以前	名字	[]	[]	[]	[]	None
D013Q10	not_parsed	not_parsed					
D013Q11	not_parsed	not_parsed					
D013Q12	not_parsed	not_parsed					
D014Q01	not_parsed	not_parsed					
D014Q02	not_parsed	not_parsed					
D014Q07	not_parsed	not_parsed					
D014Q09	not_parsed	not_parsed					
D015Q03	not_parsed	not_parsed					
D016Q03	not_parsed	not_parsed					
D016Q05	not_parsed	not_parsed					
D031Q02	not_parsed	not_parsed					
D032Q01	not_parsed	not_parsed					
D032Q02	not_parsed	not_parsed					
D032Q03	not_parsed	not_parsed					
D032Q05	not_parsed	not_parsed					
D032Q06	not_parsed	not_parsed					
D032Q07	not_parsed	not_parsed					
D032Q08	not_parsed	not_parsed					
D032Q09	not_parsed	not_parsed					
D032Q10	not_parsed	not_parsed					
D033Q01	not_parsed	not_parsed					
D033Q03	not_parsed	not_parsed					
D033Q05	not_parsed	not_parsed					
D033Q06	not_parsed	not_parsed					
D033Q07	not_parsed	not_parsed					
D033Q08	not_parsed	not_parsed					
D033Q11	not_parsed	not_parsed					
D033Q12	not_parsed	not_parsed					
D033Q13	not_parsed	not_parsed					
D033Q14	not_parsed	not_parsed					
D033Q15	not_parsed	not_parsed					
D035Q01	not_parsed	not_parsed					
D035Q02	not_parsed	not_parsed					
D035Q03	not_parsed	not_parsed					
D035Q04	not_parsed	not_parsed					
D035Q05	not_parsed	not_parsed					
D035Q08	not_parsed	not_parsed					
D035Q09	not_parsed	not_parsed					
D035Q10	not_parsed	not_parsed					
D038Q01	not_parsed	not_parsed					
D038Q02	not_parsed	not_parsed					
D038Q03	not_parsed	not_parsed					
D038Q05	not_parsed	not_parsed					
D038Q06	图灵	國籍	[]	[]	[]	[]	None
D038Q07	图灵	出生年份	[]	[]	[]	[]	None
D038Q08	not_parsed	not_parsed					
D038Q09	not_parsed	not_parsed					
D038Q10	not_parsed	not_parsed					
D038Q11	not_parsed	not_parsed					
D042Q02	not_parsed	not_parsed					
D042Q03	not_parsed	not_parsed					
D042Q05	not_parsed	not_parsed					
D042Q06	not_parsed	not_parsed					
D042Q08	not_parsed	not_parsed					
D042Q10	not_parsed	not_parsed					
D042Q14	not_parsed	not_parsed					
D042Q15	not_parsed	not_parsed					
D045Q01	not_parsed	not_parsed					
D045Q03	not_parsed	not_parsed					
D045Q04	not_parsed	not_parsed					
D045Q05	not_parsed	not_parsed					
D046Q03	not_parsed	not_parsed					
D046Q08	not_parsed	not_parsed					
D048Q02	史上第一个聊天机器人	名字	[]	[]	[]	[]	None
D048Q03	not_parsed	not_parsed					
D048Q04	not_parsed	not_parsed					
D048Q08	not_parsed	not_parsed					
D049Q01	not_parsed	not_parsed					
D049Q05	not_parsed	not_parsed					
D049Q06	not_parsed	not_parsed					
D049Q08	not_parsed	not_parsed					
D061Q01	not_parsed	not_parsed					
D061Q02	not_parsed	not_parsed					
D061Q03	not_parsed	not_parsed					
D061Q04	not_parsed	not_parsed					
D061Q05	not_parsed	not_parsed					
D062Q01	not_parsed	not_parsed					
D062Q02	not_parsed	not_parsed					
D062Q05	not_parsed	not_parsed					
D064Q01	not_parsed	not_parsed					
D064Q03	not_parsed	not_parsed					
D064Q04	not_parsed	not_parsed					
D064Q05	not_parsed	not_parsed					
D064Q06	郭雪胡	出生地	[]	[]	[]	[]	None
D064Q07	not_parsed	not_parsed					
D064Q09	not_parsed	not_parsed					
D064Q10	not_parsed	not_parsed					
D064Q11	not_parsed	not_parsed					
D064Q12	not_parsed	not_parsed					
D064Q13	not_parsed	not_parsed					
D064Q14	not_parsed	not_parsed					
D064Q15	not_parsed	not_parsed					
D064Q16	not_parsed	not_parsed					
D068Q01	not_parsed	not_parsed					
D068Q02	not_parsed	not_parsed					
D068Q03	not_parsed	not_parsed					
D069Q01	李安	出生地	['Q160726', 'Q11096026', 'Q20063496', 'Q45411984', 'Q45424706', 'Q45433406', 'Q45442133', 'Q45451077', 'Q45452455', 'Q45464980', 'Q45486569', 'Q45498052', 'Q45513683', 'Q45513746', 'Q45533811', 'Q45549533', 'Q45550864', 'Q45555725', 'Q45593110', 'Q45609915', 'Q45621657', 'Q45630249', 'Q45631181', 'Q45644164', 'Q45651451', 'Q45707224']	['Q708790 潮州鎮']	['潮州镇']	[]	None
D069Q02	not_parsed	not_parsed					
D069Q03	not_parsed	not_parsed					
D069Q04	not_parsed	not_parsed					
D069Q06	not_parsed	not_parsed					
D069Q07	not_parsed	not_parsed					
D069Q08	not_parsed	not_parsed					
D069Q09	not_parsed	not_parsed					
D069Q12	not_parsed	not_parsed					
D070Q01	not_parsed	not_parsed					
D070Q03	斯文豪	出生地	[]	[]	[]	[]	None
D070Q04	not_parsed	not_parsed					
D070Q05	not_parsed	not_parsed					
D070Q07	斯文豪	成立或建立時間	[]	[]	[]	[]	None
D070Q08	not_parsed	not_parsed					
D070Q09	not_parsed	not_parsed					
D070Q10	not_parsed	not_parsed					
D070Q11	not_parsed	not_parsed					
D071Q01	张大千	出生地	['Q163298']	['Q426756 內江市']	['内江市', '内江']	['内江', '内江']	内江
D071Q03	not_parsed	not_parsed					
D071Q10	not_parsed	not_parsed					
D071Q12	张大千	死亡年份	['Q163298']	['1983-04-02T00:00:00.000Z']	['1983年', '72年']	['1983年', '1983年']	1983年
D071Q13	张大千	死亡地	['Q163298']	['Q1867 臺北市']	['台北市', '北市', '台北, 台湾', '台北']	['台北市', '北市', '台北', '台北', '台北', '台北市', '台北市', '台北市', '台北', '台北']	台北市
D071Q14	not_parsed	not_parsed					
D071Q15	not_parsed	not_parsed					
D071Q16	not_parsed	not_parsed					
D072Q01	not_parsed	not_parsed					
D072Q02	not_parsed	not_parsed					
D072Q03	莎士比亚	出生日期	['Q692']	['1564-04-01T00:00:00.000Z']	['1564年4月1日', '-347年4月1日', '1564年4月1号', '-347年4月1号']	[]	None
D072Q04	莎士比亚	出生地	['Q692']	['Q189288 埃文河畔斯特拉特福']	['埃文河畔斯特拉特福', '斯特拉福镇', '雅芳河畔斯特拉特福', '艾芬河畔斯特拉特福', '斯特拉夫镇']	['雅芳河畔斯特拉特福', '雅芳河畔斯特拉特福']	雅芳河畔斯特拉特福
D072Q05	莎士比亚	配偶	['Q692']	['Q237251 安妮·哈瑟維 (莎士比亞之妻)']	['安妮·哈瑟维 (莎士比亚之妻)']	[]	None
D072Q06	not_parsed	not_parsed					
D073Q01	not_parsed	not_parsed					
D073Q03	not_parsed	not_parsed					
D073Q05	not_parsed	not_parsed					
D076Q04	not_parsed	not_parsed					
D076Q05	not_parsed	not_parsed					
D076Q10	not_parsed	not_parsed					
D076Q11	not_parsed	not_parsed					
D077Q01	not_parsed	not_parsed					
D077Q02	not_parsed	not_parsed					
D077Q03	not_parsed	not_parsed					
D077Q04	not_parsed	not_parsed					
D077Q05	not_parsed	not_parsed					
D077Q06	not_parsed	not_parsed					
D077Q07	not_parsed	not_parsed					
D077Q08	not_parsed	not_parsed					
D077Q09	not_parsed	not_parsed					
D077Q10	马可.波罗	國籍	['Q9012009']	['Q148 中華人民共和國']	['中华人民共和国', '中国大陆', '中华人民共和国／中华人民共和国', '新中国', '共产中国', '中国']	['中国', '中国', '中国', '中国', '中国', '中国', '中国', '中国', '中国', '中国']	中国
D079Q01	not_parsed	not_parsed					
D079Q05	not_parsed	not_parsed					
D079Q06	not_parsed	not_parsed					
D079Q07	not_parsed	not_parsed					
D082Q02	not_parsed	not_parsed					
D082Q04	not_parsed	not_parsed					
D082Q05	not_parsed	not_parsed					
D082Q06	not_parsed	not_parsed					
D083Q01	not_parsed	not_parsed					
D083Q02	not_parsed	not_parsed					
D083Q03	not_parsed	not_parsed					
D083Q04	not_parsed	not_parsed					
D083Q07	not_parsed	not_parsed					
D083Q08	not_parsed	not_parsed					
D083Q10	not_parsed	not_parsed					
D085Q01	not_parsed	not_parsed					
D085Q03	not_parsed	not_parsed					
D085Q04	not_parsed	not_parsed					
D085Q05	文本中	國籍	[]	[]	[]	[]	None
D085Q06	not_parsed	not_parsed					
D087Q01	not_parsed	not_parsed					
D087Q02	not_parsed	not_parsed					
D087Q06	not_parsed	not_parsed					
D087Q07	not_parsed	not_parsed					
D087Q08	not_parsed	not_parsed					
D088Q08	not_parsed	not_parsed					
D090Q01	not_parsed	not_parsed					
D090Q02	not_parsed	not_parsed					
D090Q03	not_parsed	not_parsed					
D090Q04	not_parsed	not_parsed					
D090Q05	not_parsed	not_parsed					
D090Q06	not_parsed	not_parsed					
D090Q07	not_parsed	not_parsed					
D090Q08	not_parsed	not_parsed					
D090Q10	not_parsed	not_parsed					
D090Q11	not_parsed	not_parsed					
D092Q03	not_parsed	not_parsed					
D092Q04	not_parsed	not_parsed					
D092Q05	not_parsed	not_parsed					
D092Q06	not_parsed	not_parsed					
D092Q07	not_parsed	not_parsed					
D092Q08	not_parsed	not_parsed					
D092Q09	not_parsed	not_parsed					
